hole_card_1,hole_card_2,board_card_1,board_card_2,board_card_3,board_card_4,board_card_5,street,num_opponents,win_pct,tie_pct,loss_pct
6h,8h,Kd,7c,4c,6s,Ks,5,6,8.2,0.2,91.6
Ad,4s,Tc,8d,Jh,3s,5d,5,2,7.6,1.0,91.4
6d,3d,Ks,Ac,5s,As,Qd,5,6,0.0,0.0,100.0
Js,Ac,9d,4c,8s,5d,,4,1,38.4,0.8,60.8
Kc,6d,Kd,4s,7h,,,3,5,38.6,6.8,54.6
3h,Qh,,,,,,0,2,30.4,3.8,65.8
9s,7d,5d,6s,Ac,5c,4s,5,7,0.0,0.0,100.0
2c,Ac,4s,Kd,5c,4h,,4,4,14.2,4.2,81.6
Ts,Qc,9d,5d,Kh,4c,9h,5,4,2.2,0.4,97.4
2h,2s,Ac,3h,4d,Kc,,4,2,25.8,2.2,72.0
Js,6d,Tc,Th,5d,7c,,4,6,2.0,0.6,97.4
7s,6h,Ad,7h,7c,Tc,4d,5,8,66.6,15.8,17.6
5h,Jd,2s,Jc,Ts,,,3,1,73.6,2.4,24.0
4h,Kd,5h,2d,8d,Ad,,4,3,25.6,1.2,73.2
6h,Ts,9s,3d,Tc,5h,7s,5,5,30.6,0.8,68.6
8s,3s,5s,7d,8d,,,3,6,11.0,3.0,86.0
5h,4d,Qh,6c,4c,Ah,2c,5,5,1.0,0.2,98.8
4c,9s,,,,,,0,2,22.6,3.2,74.2
Kh,Qs,,,,,,0,1,61.6,1.8,36.6
Qc,Th,3s,Jd,As,2c,Ts,5,8,1.8,0.0,98.2
9s,Jd,6d,9c,Kd,,,3,7,14.2,1.8,84.0
9d,3c,5h,2h,9h,,,3,8,6.6,1.0,92.4
2d,4s,Th,9d,Jh,,,3,1,8.2,12.0,79.8
Ts,Ah,3c,Qc,5s,Kh,Qd,5,3,13.8,0.6,85.6
Ah,5s,2d,9c,3s,Kc,Ks,5,4,2.6,0.0,97.4
6d,5d,Kc,7c,9c,,,3,2,12.4,3.4,84.2
5s,3h,2s,2d,Kc,9d,5h,5,6,1.0,2.0,97.0
9c,Td,7s,6c,8c,6s,5s,5,1,92.6,0.6,6.8
6d,6s,4c,3h,Jd,9h,7c,5,6,1.2,0.0,98.8
2h,2c,Ah,Jd,Kd,,,3,5,5.8,1.4,92.8
Kh,3d,4h,Kd,6s,4d,Td,5,4,35.4,10.8,53.8
8s,9d,,,,,,0,2,31.0,5.0,64.0
As,2h,,,,,,0,6,12.8,4.0,83.2
Qh,3d,Tc,9c,Ks,8d,Js,5,8,22.4,66.4,11.2
Kh,5c,,,,,,0,7,9.4,2.8,87.8
7c,Qd,6c,Ks,Ad,,,3,6,3.4,1.4,95.2
4h,Jd,6c,Jh,Tc,6d,,4,5,25.6,8.0,66.4
4s,7c,5c,6c,Td,Jh,,4,7,14.0,1.0,85.0
4h,Qd,3s,2h,8d,8h,3c,5,1,36.4,10.6,53.0
Tc,3h,,,,,,0,2,21.0,3.6,75.4
3h,5c,,,,,,0,5,11.0,3.2,85.8
7h,Ks,4h,Td,Qd,4s,,4,4,3.6,3.4,93.0
3d,7c,4h,3h,Jc,,,3,6,11.0,2.0,87.0
2h,Td,,,,,,0,4,12.4,2.6,85.0
Qc,Qs,9c,7d,7c,,,3,2,64.0,0.0,36.0
4h,9h,8h,7d,Th,9s,,4,1,49.4,13.0,37.6
6c,7h,Jh,Kh,9d,Jd,,4,7,0.2,0.6,99.2
7c,5d,,,,,,0,3,20.0,2.6,77.4
As,5h,5s,2d,Ad,Td,3h,5,8,8.0,0.6,91.4
Qc,9h,,,,,,0,1,54.2,3.2,42.6
5s,Ac,,,,,,0,2,36.0,5.2,58.8
6s,Kd,Qh,9d,6c,2h,,4,4,17.8,0.8,81.4
2h,3s,Qc,2c,6h,,,3,3,20.6,2.8,76.6
Ts,2s,8s,8c,9c,,,3,1,30.4,8.0,61.6
2s,Jc,3c,9h,9d,,,3,7,1.4,1.4,97.2
9s,Kc,8s,Js,2d,,,3,7,8.2,2.6,89.2
9d,7c,5d,2h,Jh,Kc,,4,4,1.2,0.2,98.6
Jh,Ad,7c,9d,7d,,,3,1,53.8,4.0,42.2
7d,7h,Kh,Td,8d,4h,,4,1,60.2,0.2,39.6
Kd,Jc,,,,,,0,1,54.8,2.8,42.4
3d,4h,7d,3c,2s,,,3,5,16.0,3.4,80.6
Kc,Ah,7d,3s,3d,,,3,2,32.2,4.6,63.2
2c,2d,Qc,4c,Jc,5h,6h,5,3,2.8,0.0,97.2
8h,As,8s,Js,Qh,4s,6c,5,4,13.0,0.8,86.2
3h,2d,7s,Jc,As,,,3,7,1.8,0.0,98.2
Ac,9h,3s,6s,2c,2h,,4,1,47.2,2.4,50.4
Qd,4s,,,,,,0,4,16.2,2.6,81.2
2h,7d,Ah,Kh,9c,,,3,4,2.0,0.6,97.4
Ah,5h,,,,,,0,6,20.0,3.2,76.8
2h,7c,3c,6c,Th,4d,7s,5,5,3.2,0.4,96.4
Ac,Js,Kh,2h,3h,Qs,,4,5,9.6,0.8,89.6
4h,Qc,7c,2s,Ac,,,3,7,6.6,1.0,92.4
7h,As,4h,8d,7d,Th,,4,7,5.8,0.4,93.8
Kc,2h,7d,2d,Jc,5d,,4,6,5.8,0.2,94.0
Ts,7d,5d,5s,Qs,Qd,2s,5,8,0.0,0.0,100.0
4c,8c,,,,,,0,1,40.2,4.2,55.6
Jh,3d,,,,,,0,8,7.0,1.6,91.4
6d,3d,,,,,,0,2,26.0,3.2,70.8
Qd,8d,6h,4c,Js,,,3,1,35.0,3.0,62.0
9c,3d,4h,9s,Jc,,,3,1,65.4,2.4,32.2
Jc,As,7h,8s,3d,,,3,4,16.4,2.0,81.6
6c,Ac,2h,7s,8h,,,3,1,43.2,2.4,54.4
Js,3c,Tc,3d,3s,,,3,6,73.6,4.0,22.4
3s,7s,,,,,,0,4,12.8,2.0,85.2
4d,5h,Qd,Jc,5s,As,3h,5,8,0.2,0.6,99.2
9c,4c,Kd,2c,Jh,,,3,4,7.6,1.6,90.8
Kh,Tc,,,,,,0,5,21.8,3.6,74.6
8s,4c,,,,,,0,8,5.0,2.4,92.6
6c,Kc,2s,2c,Qd,,,3,2,24.8,5.0,70.2
4h,4c,Kh,7s,6c,2d,3c,5,7,0.6,0.0,99.4
9c,8h,4d,3s,5s,,,3,5,3.0,1.2,95.8
Kh,6d,7s,4s,Kc,Kd,,4,6,66.6,7.0,26.4
3s,2s,2c,4d,Ts,Jd,,4,2,22.4,2.4,75.2
Kd,5s,Td,8c,5h,Js,7c,5,8,0.0,0.0,100.0
8d,8h,9c,3d,5s,8c,,4,6,69.8,0.0,30.2
5c,Qs,,,,,,0,2,27.8,3.0,69.2
Kh,9s,Ah,2h,7h,,,3,2,49.6,1.0,49.4
Ac,Ah,6c,As,3s,,,3,5,82.4,0.0,17.6
7h,Tc,5c,3h,4s,7c,,4,4,12.4,2.8,84.8
Td,6d,9c,2h,Th,,,3,6,19.2,3.2,77.6
7c,5s,8c,Kd,6s,9c,6c,5,2,83.4,1.6,15.0
Td,Jh,Ah,As,Js,3d,Ts,5,1,74.6,6.4,19.0
9c,Ts,5h,Ks,Tc,Kh,,4,8,16.4,3.8,79.8
4h,Qh,7s,3h,Td,Kh,,4,8,19.6,0.2,80.2
6c,2d,,,,,,0,8,4.4,1.0,94.6
Th,5h,Qs,8d,As,,,3,1,24.0,7.8,68.2
5h,Ts,,,,,,0,8,4.0,4.0,92.0
5d,Kc,,,,,,0,1,50.0,4.4,45.6
Kd,2d,8s,6s,Tc,,,3,8,1.8,1.4,96.8
Ac,8s,,,,,,0,6,20.0,2.6,77.4
8c,9h,6c,7c,4h,,,3,5,27.4,2.6,70.0
9d,Qd,Ks,Jh,Th,8s,Kd,5,4,78.0,3.4,18.6
2d,Qs,,,,,,0,2,26.0,4.8,69.2
2h,7c,Ts,4d,Jh,Jc,Qs,5,1,6.4,5.6,88.0
4s,7s,7d,4c,9h,Ad,Qh,5,2,84.2,0.8,15.0
Ah,Jh,5c,8h,8s,Ks,,4,5,4.6,2.0,93.4
3c,6d,Qs,Qd,Ks,6c,,4,7,2.4,4.0,93.6
7c,Td,8d,7d,4d,2c,Kh,5,3,24.4,0.4,75.2
5s,9d,Ac,3h,5d,8d,Ad,5,4,19.6,0.6,79.8
7h,9s,Kh,6h,Th,,,3,1,53.6,3.4,43.0
Td,Ks,Kh,9d,7c,8c,9s,5,6,27.6,1.8,70.6
5s,5h,,,,,,0,4,20.6,0.6,78.8
Ac,9c,8d,2s,2c,,,3,5,12.6,4.2,83.2
Qc,8h,,,,,,0,2,34.2,4.2,61.6
2d,5c,,,,,,0,5,9.6,2.4,88.0
4c,5c,,,,,,0,5,15.2,1.8,83.0
Tc,7c,8h,Qd,Kc,,,3,6,8.2,1.8,90.0
Th,5c,6h,Js,3h,Ad,9s,5,7,0.0,0.0,100.0
Jh,5s,,,,,,0,6,9.8,2.6,87.6
3h,5c,6c,Ks,4h,,,3,3,32.4,2.2,65.4
Tc,9d,Kd,Th,Ks,7c,,4,4,37.6,6.0,56.4
Ah,Ts,9d,Js,7c,,,3,7,8.4,7.6,84.0
3s,9h,2s,As,3h,Jc,Ks,5,1,45.8,3.8,50.4
Js,3c,,,,,,0,1,39.6,3.6,56.8
8c,Qc,9c,7c,2c,Td,Kh,5,2,98.4,0.0,1.6
8d,9s,Kh,4h,7s,Jh,5h,5,6,0.0,0.0,100.0
7h,2d,2c,Kc,6c,Td,,4,2,21.8,1.4,76.8
5h,5d,5s,Qh,Ts,2s,Jd,5,7,42.0,0.0,58.0
Kd,5h,,,,,,0,8,6.6,1.4,92.0
4h,3h,Jd,5c,Jc,,,3,7,2.8,0.8,96.4
2c,3c,5d,Ts,7h,4d,,4,4,12.2,2.2,85.6
Js,5h,,,,,,0,8,6.8,2.8,90.4
4h,2d,Kc,Tc,Td,,,3,8,0.0,0.8,99.2
Tc,3c,4c,Ts,Th,9s,6s,5,2,77.8,2.8,19.4
5c,Jd,4h,Ad,3h,Qc,,4,2,15.4,2.6,82.0
9d,Ah,8d,3s,7c,,,3,7,7.2,3.6,89.2
4h,9d,2s,9c,4s,As,,4,1,82.0,0.0,18.0
Qd,9h,4h,Ad,6d,,,3,7,5.8,0.6,93.6
3s,4s,8c,4c,Ac,3c,,4,8,9.8,0.4,89.8
Qh,Jh,Ad,Qc,Kd,Ac,,4,3,29.8,15.2,55.0
3h,Kd,7s,4c,7c,,,3,3,11.8,4.6,83.6
Jd,5d,2d,5s,3s,4s,8h,5,3,9.0,0.2,90.8
2c,2d,Ah,9c,Jh,5s,,4,5,4.4,0.0,95.6
Ah,8h,As,5d,3s,Kh,,4,8,25.2,4.2,70.6
Ah,Ad,Th,5c,5s,,,3,8,37.0,0.0,63.0
8s,2h,,,,,,0,7,4.8,2.4,92.8
8h,Kd,,,,,,0,8,8.6,2.4,89.0
5d,8d,,,,,,0,7,11.4,3.2,85.4
2c,9h,3s,4c,As,Th,9s,5,2,33.6,0.6,65.8
2c,Qh,,,,,,0,7,6.4,2.4,91.2
Kc,Jh,As,6s,2h,Ks,Qc,5,8,6.6,0.6,92.8
3d,Tc,8s,2d,5s,5d,,4,3,4.4,0.4,95.2
Qs,4c,Jh,3d,Jc,6h,,4,2,12.6,2.6,84.8
3s,Kh,,,,,,0,4,15.2,2.6,82.2
Kd,Jc,,,,,,0,6,18.8,2.2,79.0
5h,Qd,Kh,6d,8s,Tc,,4,6,0.0,0.2,99.8
Jh,Jc,2c,9s,9h,9c,Td,5,6,62.6,0.6,36.8
Ac,5c,Qs,Qd,Ad,9d,,4,6,18.2,10.2,71.6
5c,4s,8s,8d,9d,Js,9s,5,7,0.0,0.0,100.0
Jc,Jh,Kd,Kc,3h,,,3,5,45.0,0.2,54.8
8h,Qs,,,,,,0,8,8.8,3.6,87.6
Ad,Ts,3d,6h,Tc,5c,5s,5,2,73.0,1.4,25.6
5h,7s,Kc,8s,8h,9d,,4,4,9.6,1.4,89.0
4c,2s,Kh,Tc,3h,As,,4,6,6.4,0.8,92.8
3d,7h,,,,,,0,4,9.0,3.0,88.0
2c,Qs,4s,9c,Tc,,,3,7,3.0,0.6,96.4
Kd,7h,6h,2s,Jc,Ah,5d,5,8,0.0,0.0,100.0
Js,7s,2d,8s,5d,4c,,4,7,4.0,4.2,91.8
Kd,5s,5c,Ac,4h,5h,,4,1,90.2,1.0,8.8
Ks,6c,,,,,,0,3,25.0,3.8,71.2
3c,8c,,,,,,0,4,17.0,2.2,80.8
9c,Tc,2s,Ac,Kd,7h,,4,3,3.8,0.0,96.2
Jh,7h,,,,,,0,5,20.0,2.8,77.2
4s,4d,3h,5h,2s,Ac,6d,5,5,64.2,32.6,3.2
7h,7d,3c,6h,Td,,,3,7,13.4,0.6,86.0
Kh,4h,6c,Td,Th,8d,,4,6,1.4,1.6,97.0
Jc,3c,,,,,,0,3,23.4,3.0,73.6
3d,Jc,2h,7h,Th,Ts,Kh,5,3,0.0,0.2,99.8
4c,6d,,,,,,0,5,8.6,1.8,89.6
8d,Ks,8s,Td,3s,6d,Jc,5,7,2.8,0.0,97.2
2s,3s,8c,Tc,6s,Qc,,4,4,0.0,0.0,100.0
6h,Jd,3s,2h,8s,9c,,4,2,7.0,0.4,92.6
Qc,4d,,,,,,0,5,13.6,2.8,83.6
Jc,Jh,Ts,Ac,8c,,,3,5,22.6,2.2,75.2
2c,3c,6h,5c,Ac,7h,7d,5,8,0.0,0.0,100.0
6h,9c,,,,,,0,5,10.8,3.0,86.2
Qh,6h,Jc,9c,3c,,,3,5,2.0,1.4,96.6
8c,7d,,,,,,0,6,11.4,2.0,86.6
4s,Jc,8d,3c,6h,Th,,4,6,1.2,0.2,98.6
Ac,4d,,,,,,0,3,26.4,4.2,69.4
9s,8h,6c,Ah,9d,3h,Ac,5,6,31.2,1.6,67.2
7h,Kh,Jc,Qs,Ad,5s,,4,8,3.2,7.6,89.2
9c,Jd,2d,3h,Js,,,3,1,79.0,1.2,19.8
8h,4d,,,,,,0,5,10.2,1.8,88.0
4d,Qs,Ac,5s,9d,3h,,4,3,10.6,4.2,85.2
Kh,4s,9c,Ad,5h,,,3,1,44.2,4.6,51.2
2d,8c,Ac,Ts,4s,3c,,4,3,6.8,3.8,89.4
8d,Qs,Qc,Qd,Ah,3d,4h,5,3,85.0,1.6,13.4
4s,9h,Ts,2s,4d,9c,,4,7,48.0,1.0,51.0
5s,Qs,,,,,,0,1,47.0,5.0,48.0
8s,9h,6h,9d,3c,Ks,,4,2,50.2,1.6,48.2
3d,2h,Js,4c,Qc,,,3,8,3.0,0.2,96.8
6c,2h,,,,,,0,3,13.6,2.2,84.2
8c,Ts,Qd,3h,2h,Ah,,4,3,3.2,0.2,96.6
As,9h,6d,3s,Jc,Ac,Qs,5,2,75.6,1.8,22.6
Qd,7h,8h,2d,6d,,,3,4,13.0,1.6,85.4
4d,7c,3h,8c,2s,4c,,4,8,7.8,0.4,91.8
Jh,3s,8h,As,Kd,,,3,8,2.0,1.4,96.6
4d,2s,6h,9d,6s,3s,3h,5,2,0.0,2.4,97.6
Ah,6d,7s,Th,6c,,,3,3,28.8,1.0,70.2
Qh,9c,4h,Kh,Kc,7h,,4,2,32.2,1.6,66.2
Kh,Jc,Ts,9s,6h,,,3,5,17.2,1.8,81.0
Ac,Kd,Qc,3c,3h,4s,8h,5,1,52.6,0.8,46.6
9c,7h,8c,2c,4h,,,3,4,11.4,0.2,88.4
Qs,5d,Ah,3d,8d,Jc,,4,2,11.6,1.8,86.6
6d,3s,8c,Ah,Kh,8d,Th,5,5,0.0,0.0,100.0
9d,6s,,,,,,0,6,8.0,3.0,89.0
Td,5d,,,,,,0,6,12.4,2.2,85.4
4s,4h,5c,3s,7s,,,3,4,16.8,4.0,79.2
Th,Qc,2h,2d,Ad,5d,Qs,5,3,26.8,9.2,64.0
9s,Th,As,Ad,2d,3h,9d,5,1,81.4,0.2,18.4
Qs,2d,8h,5d,3h,4c,8c,5,3,0.2,0.0,99.8
7d,4h,Jc,7c,3h,6s,3c,5,8,1.4,1.2,97.4
2c,Ts,Jc,7c,9d,Jh,,4,8,1.8,4.4,93.8
9s,6c,2h,5c,3s,4h,9d,5,7,28.8,63.6,7.6
2d,5d,Ts,Ac,Tc,,,3,3,5.0,8.0,87.0
Qd,7s,,,,,,0,7,11.6,2.4,86.0
Td,3c,Qd,Tc,3h,,,3,2,71.4,2.4,26.2
Th,9h,Kd,8h,4c,6d,Tc,5,5,21.0,1.6,77.4
Kc,Jc,7c,4c,Qc,,,3,5,84.4,0.0,15.6
Qc,5d,8c,2s,Th,,,3,6,3.4,1.6,95.0
Ah,2h,Ts,Tc,7h,,,3,8,4.8,3.4,91.8
Kh,5h,Jh,2d,Kc,Kd,9c,5,8,50.8,14.0,35.2
Ah,Ac,3d,3c,2s,Jc,,4,7,42.0,0.2,57.8
8h,9c,,,,,,0,4,15.2,3.0,81.8
7d,5h,Js,Ks,As,9h,,4,2,1.8,5.0,93.2
2d,Qc,Kc,7s,8s,2s,3h,5,7,0.0,0.0,100.0
5c,9d,,,,,,0,2,25.2,3.6,71.2
5d,9h,8c,5h,Qc,Tc,,4,3,12.2,3.8,84.0
5c,2h,Qh,3c,Kd,,,3,6,2.4,0.2,97.4
9h,Jd,5s,8d,9s,,,3,6,18.8,3.0,78.2
9c,8s,5d,4d,3c,,,3,4,6.6,1.6,91.8
Kd,Qh,Ad,4c,Ah,Qd,,4,3,66.0,4.6,29.4
9d,Js,3s,7h,3c,,,3,7,5.6,1.0,93.4
Kh,8h,Td,8c,As,2h,,4,6,15.6,1.0,83.4
8s,4c,,,,,,0,5,8.4,1.4,90.2
Jd,5c,7c,Qh,4c,3h,Js,5,1,75.2,0.8,24.0
9d,Tc,,,,,,0,4,19.4,2.0,78.6
4s,2d,Kd,9h,5c,6d,,4,4,5.6,0.2,94.2
Kh,4d,3d,6s,4c,Qd,,4,4,16.4,0.6,83.0
Tc,3h,9s,4s,Jc,,,3,8,2.4,4.6,93.0
4d,3d,,,,,,0,4,13.8,3.4,82.8
Tc,6h,,,,,,0,1,45.2,3.0,51.8
Tc,7c,4h,Ks,9d,4d,Jd,5,4,0.2,0.0,99.8
5h,Jh,,,,,,0,1,43.6,4.2,52.2
7d,3s,,,,,,0,3,14.2,2.8,83.0
6c,Qd,As,Kc,Qs,Js,,4,2,19.6,8.6,71.8
4c,4h,Qc,Td,6c,6d,Th,5,2,0.0,14.0,86.0
Jd,8h,2s,4d,7h,9d,,4,6,10.8,1.0,88.2
Jd,Kd,Ac,Qc,8h,Jh,5h,5,2,42.8,0.8,56.4
7s,Qc,5s,3h,9d,,,3,4,7.0,2.4,90.6
Ad,2h,,,,,,0,3,22.8,4.8,72.4
7d,3d,6h,6s,3s,8s,,4,5,3.8,1.6,94.6
5d,Td,Qc,8c,Qh,,,3,2,17.2,5.6,77.2
2h,8s,9s,Th,9c,Qd,As,5,2,0.0,7.8,92.2
3c,Qc,4s,4d,8c,Tc,5c,5,6,79.0,0.0,21.0
7h,Td,Jd,8d,8s,2s,6s,5,5,0.0,0.0,100.0
8h,Js,2d,Ts,4h,7h,Qh,5,1,15.8,0.6,83.6
Kh,8h,Jc,6c,4h,,,3,4,10.0,1.0,89.0
Ac,3h,Tc,5d,6d,5s,9d,5,1,36.8,5.0,58.2
4c,2s,Kc,7s,Kd,6s,,4,7,0.0,0.2,99.8
Qd,4d,Qc,5d,8s,Qs,,4,8,53.8,11.8,34.4
2d,2c,Td,8s,Jc,,,3,4,7.6,0.6,91.8
Js,Jc,Ac,6s,Ad,Th,,4,6,39.8,0.4,59.8
7d,9d,Kd,8d,2h,9h,8c,5,1,66.8,7.8,25.4
Kc,3c,Kd,5c,4c,,,3,3,67.6,3.4,29.0
Ts,2c,Qc,3c,Js,,,3,4,6.0,3.4,90.6
8h,Qs,,,,,,0,7,10.0,2.6,87.4
9d,Th,,,,,,0,6,18.0,2.6,79.4
9s,7c,,,,,,0,7,8.6,3.4,88.0
Kh,Kd,Jc,9h,Td,2s,4c,5,8,25.8,0.4,73.8
9c,7s,,,,,,0,8,9.6,3.2,87.2
5d,9h,2s,4c,Jc,,,3,3,8.6,1.4,90.0
As,Ah,Kd,Td,Tc,,,3,3,61.8,0.8,37.4
Jd,As,Jc,Th,Qc,,,3,7,16.0,9.4,74.6
4c,Ah,3s,Kc,5s,9d,,4,5,9.8,0.0,90.2
4h,2s,,,,,,0,7,5.8,1.2,93.0
Jc,6d,5h,7h,Qs,3c,,4,6,4.6,5.0,90.4
Ks,3h,6h,7c,7h,Ad,Qs,5,6,0.2,1.2,98.6
Ad,Ks,6d,Ts,5s,Qh,2c,5,3,5.4,0.6,94.0
Kd,5d,9h,8d,8h,Jd,3d,5,5,82.2,0.0,17.8
Ks,Ts,Qh,Jh,4c,4h,,4,6,7.6,0.6,91.8
4c,7h,6h,Jc,2h,9s,,4,7,0.0,0.0,100.0
8s,8c,3s,9d,5s,7d,,4,2,47.6,1.4,51.0
As,Js,5h,8s,2c,9s,,4,7,20.8,0.4,78.8
Kd,2s,6d,7h,Ad,Ts,,4,3,5.4,1.0,93.6
2c,Qs,2s,Kd,4c,6c,,4,3,17.6,1.0,81.4
3d,8h,Jh,Js,8c,,,3,5,15.6,8.2,76.2
Qd,8s,4s,5h,Qc,,,3,1,78.6,0.8,20.6
5c,Jc,5h,6c,Kc,Kh,3d,5,5,15.0,0.6,84.4
8h,9s,6h,9h,Qc,6d,Qs,5,2,56.6,1.2,42.2
6h,Jh,6d,3h,4s,Ks,9h,5,1,58.2,1.2,40.6
6h,8s,8d,6c,Th,Qd,5c,5,6,45.8,1.6,52.6
5d,6s,,,,,,0,3,18.0,2.2,79.8
9h,Ts,Kc,Jh,Jc,,,3,2,24.6,7.4,68.0
4s,7c,Ah,2c,5c,,,3,8,5.4,6.4,88.2
4h,9d,2s,2h,3c,Ts,,4,2,5.2,1.6,93.2
Ac,6h,2c,7h,Kd,2d,,4,7,1.0,1.6,97.4
8s,5s,5c,Tc,5d,,,3,3,72.8,4.8,22.4
Ad,7d,7s,Ks,Qd,4h,,4,2,46.4,0.8,52.8
9d,Ts,Ks,Js,Jc,5h,6s,5,7,0.0,0.0,100.0
2h,7s,,,,,,0,4,11.0,2.8,86.2
2c,Js,9h,5s,3h,,,3,1,23.6,2.6,73.8
Kc,3c,,,,,,0,3,26.6,3.2,70.2
Kd,Tc,,,,,,0,5,18.6,4.6,76.8
6d,7h,Qc,Js,As,,,3,4,1.0,3.2,95.8
Jh,3s,,,,,,0,3,16.2,5.6,78.2
7d,2h,7s,4c,6d,9h,Kc,5,3,18.4,2.6,79.0
Jd,7h,Qh,Ks,5c,Ac,,4,7,2.2,5.8,92.0
4h,4c,,,,,,0,4,17.0,1.8,81.2
As,Ts,5h,4d,3h,,,3,1,46.0,4.8,49.2
6c,Ac,Qd,2d,Jd,8h,,4,4,4.0,1.2,94.8
5s,8s,,,,,,0,1,41.6,5.2,53.2
7d,9c,,,,,,0,3,19.8,3.8,76.4
6c,Qc,,,,,,0,6,14.6,2.2,83.2
Qc,7c,,,,,,0,4,20.4,3.4,76.2
8d,Jh,,,,,,0,2,35.4,2.4,62.2
2h,2c,8c,4c,5s,Jh,,4,8,3.0,0.0,97.0
4d,7c,Jc,8s,7s,,,3,1,52.2,5.6,42.2
Kd,Kh,3c,Tc,Qs,,,3,3,52.8,1.2,46.0
8h,4d,4c,Kh,6d,7h,3h,5,4,0.8,0.0,99.2
4s,5c,Tc,7h,Ts,6s,Kh,5,7,0.0,0.0,100.0
Jc,8d,5d,Ks,3c,4s,,4,2,7.2,0.6,92.2
Qc,6d,2c,7s,9c,3h,,4,6,3.4,0.2,96.4
Ts,8d,,,,,,0,1,46.2,3.0,50.8
Jc,9d,Td,7c,Ks,,,3,5,28.4,3.0,68.6
8c,Qs,3d,7h,Kd,,,3,3,10.0,1.8,88.2
Ts,8h,6s,Ks,5s,,,3,1,48.4,2.4,49.2
Tc,4s,4h,Jh,Ts,,,3,1,85.4,0.6,14.0
7d,2s,7s,Qc,Kc,2h,,4,7,44.0,2.6,53.4
Th,4h,,,,,,0,4,19.8,2.8,77.4
Ks,2c,,,,,,0,5,10.2,4.2,85.6
9c,Kd,Tc,2s,8c,2c,Qd,5,6,0.0,0.0,100.0
Jh,7d,,,,,,0,6,9.6,4.0,86.4
